(-7.13614e-06,-1.04898e-05)
(-9.08343e-05,-0.00028295)
(-0.000266672,-3.13723e-05)
(-5.54075e-06,8.29801e-06)
(1.00624e-05,9.68716e-06)
(7.55644e-06,-1.13168e-05)
(-5.04601e-06,-7.41743e-06)
(4.06131e-05,-2.41511e-05)
(-2.50219e-05,-5.10406e-05)
(2.6836e-06,-7.50847e-07)
(-5.83599e-07,-2.33329e-06)
(9.94814e-05,-5.9158e-05)
(-6.12908e-05,-0.000125023)
(-3.87158e-06,7.60794e-06)
(7.85853e-06,7.03887e-06)
(1.17255e-05,-2.30415e-05)
(-8.9654e-06,-1.37687e-05)
(-0.00015951,-0.000317423)
(-0.000304701,-2.20856e-05)
(-6.1215e-06,1.20292e-05)
(1.24254e-05,1.11294e-05)
(8.29118e-06,-1.62928e-05)
(-6.33949e-06,-9.73592e-06)
(5.52657e-05,-4.14278e-05)
(-3.36115e-05,-6.14203e-05)
(4.36144e-06,-1.83731e-06)
(-1.10267e-06,-3.11698e-06)
(0.000135373,-0.000101477)
(-8.23311e-05,-0.000150448)
(-3.54428e-06,1.07161e-05)
(9.95266e-06,7.97624e-06)
(1.07294e-05,-3.24402e-05)
(-1.18433e-05,-1.80981e-05)
(-0.000258374,-0.000328682)
(-0.000350322,5.76066e-06)
(-5.604e-06,1.69436e-05)
(1.57365e-05,1.26115e-05)
(7.58682e-06,-2.29387e-05)
(-8.37451e-06,-1.27973e-05)
(7.11272e-05,-6.7406e-05)
(-4.42825e-05,-7.62948e-05)
(6.89402e-06,-3.96135e-06)
(-1.90742e-06,-4.42319e-06)
(0.000174225,-0.00016511)
(-0.00010847,-0.000186883)
(-5.39023e-06,8.0726e-06)
(8.57565e-06,8.61376e-06)
(7.04324e-05,0.000219397)
(0.000185316,3.12153e-05)
(2.69511e-06,-4.0363e-06)
(-4.28783e-06,-4.30688e-06)
(-7.41367e-06,1.1103e-05)
(3.88412e-06,6.56513e-06)
(0.000108049,-6.42526e-05)
(-5.30053e-05,-0.000112981)
(5.74699e-06,-1.60796e-06)
(-8.65668e-07,-3.6239e-06)
(-6.0119e-06,1.18138e-05)
(1.08186e-05,1.02257e-05)
(0.000124082,0.000246922)
(0.000216189,2.7651e-05)
(3.00595e-06,-5.90692e-06)
(-5.40931e-06,-5.11285e-06)
(-8.18812e-06,1.60903e-05)
(4.95275e-06,8.94931e-06)
(0.000146206,-0.000109598)
(-7.23678e-05,-0.000140407)
(9.28518e-06,-3.9115e-06)
(-1.70232e-06,-5.10428e-06)
(-5.55793e-06,1.68043e-05)
(1.40212e-05,1.19833e-05)
(0.000201847,0.000256773)
(0.000254587,1.05071e-05)
(2.77896e-06,-8.40217e-06)
(-7.0106e-06,-5.99166e-06)
(-7.55921e-06,2.28552e-05)
(6.71428e-06,1.22117e-05)
(0.000187167,-0.000177375)
(-9.66606e-05,-0.000179802)
(1.45942e-05,-8.3859e-06)
(-3.04785e-06,-7.64061e-06)
(-4.78745e-07,3.197e-07)
(2.41062e-06,3.63775e-06)
(1.55656e-06,-1.03945e-06)
(-2.2489e-06,-3.4584e-06)
(-3.38687e-07,-5.05215e-05)
(-0.000136745,-2.42801e-06)
(-7.56962e-07,5.0549e-07)
(3.81152e-06,5.75179e-06)
(1.10065e-06,-7.35005e-07)
(-1.59021e-06,-2.44546e-06)
(2.9044e-06,1.61108e-07)
(1.576e-06,-2.81188e-05)
(7.78147e-08,4.44563e-08)
(4.33248e-07,-7.5821e-07)
(7.1143e-06,3.94634e-07)
(3.86039e-06,-6.88768e-05)
(-8.03408e-07,6.0611e-07)
(2.83113e-06,3.82969e-06)
(2.58383e-06,-1.94931e-06)
(-2.76899e-06,-3.91795e-06)
(-1.44774e-06,-8.09408e-05)
(-0.000152462,-5.83446e-06)
(-1.2703e-06,9.58345e-07)
(4.4764e-06,6.05527e-06)
(1.82705e-06,-1.37837e-06)
(-1.95797e-06,-2.77041e-06)
(5.40633e-06,-3.07133e-07)
(-1.67305e-06,-3.04498e-05)
(1.7328e-07,6.54391e-08)
(3.46982e-07,-9.17996e-07)
(1.32427e-05,-7.5232e-07)
(-4.09811e-06,-7.45864e-05)
(-1.19732e-06,1.00874e-06)
(3.28408e-06,4.06835e-06)
(3.81038e-06,-3.21026e-06)
(-3.34631e-06,-4.51399e-06)
(-4.33404e-06,-0.00011496)
(-0.000169569,-1.08416e-05)
(-1.89312e-06,1.59496e-06)
(5.19258e-06,6.43262e-06)
(2.69435e-06,-2.26999e-06)
(-2.3662e-06,-3.19187e-06)
(8.8309e-06,-1.37754e-06)
(-4.9661e-06,-3.28479e-05)
(3.28256e-07,7.54429e-08)
(2.49702e-07,-1.08227e-06)
(2.16312e-05,-3.37426e-06)
(-1.21644e-05,-8.04606e-05)
(-1.737e-06,1.65905e-06)
(3.87854e-06,4.42449e-06)
(5.46222e-06,-5.21709e-06)
(-4.10773e-06,-5.44445e-06)
(-1.1862e-05,-0.000157666)
(-0.000191049,-1.80764e-05)
(-2.74644e-06,2.62318e-06)
(6.13251e-06,6.99573e-06)
(3.86238e-06,-3.68904e-06)
(-2.9046e-06,-3.84981e-06)
(1.41851e-05,-3.75238e-06)
(-9.08266e-06,-3.5998e-05)
(6.14631e-07,5.26278e-08)
(1.14236e-07,-1.29685e-06)
(3.47462e-05,-9.19142e-06)
(-2.22479e-05,-8.81768e-05)
